w/o no_grad

htu 'cheetah-1cpu' w/ 1000 particles standard output: ['Track: 86075893ns', '']
htu 'cheetah-1cpu' w/ 1000 particles standard output: ['Track: 85084291ns', '']
htu 'cheetah-1cpu' w/ 1000 particles standard output: ['Track: 86848184ns', '']
htu 'cheetah-1cpu' w/ 1000 particles standard output: ['Track: 85149493ns', '']
htu 'cheetah-1cpu' w/ 1000 particles standard output: ['Track: 86112199ns', '']
htu 'cheetah-1cpu' w/ 10000 particles standard output: ['Track: 129563589ns', '']
htu 'cheetah-1cpu' w/ 10000 particles standard output: ['Track: 128313576ns', '']
htu 'cheetah-1cpu' w/ 10000 particles standard output: ['Track: 129159068ns', '']
htu 'cheetah-1cpu' w/ 10000 particles standard output: ['Track: 129058832ns', '']
htu 'cheetah-1cpu' w/ 10000 particles standard output: ['Track: 129969719ns', '']
htu 'cheetah-1cpu' w/ 100000 particles standard output: ['Track: 864818482ns', '']
htu 'cheetah-1cpu' w/ 100000 particles standard output: ['Track: 866247063ns', '']
htu 'cheetah-1cpu' w/ 100000 particles standard output: ['Track: 870062504ns', '']
htu 'cheetah-1cpu' w/ 100000 particles standard output: ['Track: 869176045ns', '']
htu 'cheetah-1cpu' w/ 100000 particles standard output: ['Track: 866590442ns', '']

htu 'cheetah-1cpu-inductor-fm-simd' w/ 1000 particles standard output: ['Track: 20478279ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 1000 particles standard output: ['Track: 20101653ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 1000 particles standard output: ['Track: 20032407ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 1000 particles standard output: ['Track: 20515869ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 1000 particles standard output: ['Track: 20111010ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 10000 particles standard output: ['Track: 59841086ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 10000 particles standard output: ['Track: 60201056ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 10000 particles standard output: ['Track: 59420985ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 10000 particles standard output: ['Track: 59789782ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 10000 particles standard output: ['Track: 69890599ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 100000 particles standard output: ['Track: 469193045ns', '']
htu 'cheetah-1cpu-inductor-fm-simd' w/ 100000 particles standard output: ['Track: 495245124ns', '']
